Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,10.420000,13.850000,10.340000,13.740000,13.740000,1335288900
2018-02-01,13.620000,13.840000,10.630000,12.110000,12.110000,1103985800
2018-03-01,12.260000,12.820000,9.790000,10.050000,10.050000,1483511900
2018-04-01,9.990000,11.360000,9.040000,10.880000,10.880000,1163360900
2018-05-01,10.830000,13.950000,10.770000,13.730000,13.730000,1020602700
2018-06-01,13.980000,17.340000,13.920000,14.990000,14.990000,1632781900
2018-07-01,14.800000,20.180000,14.740000,18.330000,18.330000,1456419400
2018-08-01,18.340000,27.299999,18.000000,25.170000,25.170000,2201119100
2018-09-01,25.620001,34.139999,25.570000,30.889999,30.889999,3063055900
2018-10-01,30.690001,31.910000,16.170000,18.209999,18.209999,2655213100
2018-11-01,18.410000,22.219999,17.180000,21.299999,21.299999,2140346900
2018-12-01,22.480000,23.750000,16.030001,18.459999,18.459999,1981674300
2019-01-01,18.010000,25.139999,16.940001,24.410000,24.410000,2311913200
2019-02-01,24.610001,25.520000,22.270000,23.530001,23.530001,1301360800
2019-03-01,23.969999,28.110001,21.040001,25.520000,25.520000,1499160400
2019-04-01,26.420000,29.950001,25.830000,27.629999,27.629999,1275793800
2019-05-01,28.950001,29.670000,26.030001,27.410000,27.410000,1675142900
2019-06-01,28.750000,34.299999,27.290001,30.370001,30.370001,1578411200
2019-07-01,31.790001,34.860001,30.100000,30.450001,30.450001,1155469400
2019-08-01,30.500000,35.549999,27.650000,31.450001,31.450001,1645871800
2019-09-01,30.830000,32.049999,28.350000,28.990000,28.990000,1012749700
2019-10-01,29.049999,34.340000,27.430000,33.930000,33.930000,1067281800
2019-11-01,34.369999,41.790001,34.099998,39.150002,39.150002,1202279900
2019-12-01,39.320000,47.310001,37.150002,45.860001,45.860001,982440800
2020-01-01,46.860001,52.810001,46.099998,47.000000,47.000000,1227882000
2020-02-01,46.400002,59.270000,41.040001,45.480000,45.480000,1283146900
2020-03-01,47.419998,50.200001,36.750000,45.480000,45.480000,2095887300
2020-04-01,44.180000,58.630001,41.700001,52.389999,52.389999,1714615700
2020-05-01,51.070000,56.980000,49.090000,53.799999,53.799999,1192698100
2020-06-01,53.310001,59.000000,48.419998,52.610001,52.610001,1174606200
2020-07-01,52.630001,78.959999,51.599998,77.430000,77.430000,1563684800
2020-08-01,78.190002,92.639999,76.099998,90.820000,90.820000,1220335300
2020-09-01,91.919998,94.279999,73.849998,81.989998,81.989998,1168263000
2020-10-01,83.059998,88.720001,74.230003,75.290001,75.290001,1181118000
2020-11-01,75.849998,92.739998,73.760002,92.660004,92.660004,907041400
2020-12-01,92.250000,97.980003,89.029999,91.709999,91.709999,848701400
2021-01-01,92.110001,99.230003,85.019997,85.639999,85.639999,997848700
2021-02-01,86.830002,94.220001,79.360001,84.510002,84.510002,734954400
2021-03-01,85.370003,86.949997,73.860001,78.500000,78.500000,1008228800
2021-04-01,80.160004,89.199997,77.940002,81.620003,81.620003,986273800
2021-05-01,81.970001,82.000000,72.500000,80.080002,80.080002,892921300
2021-06-01,81.010002,94.339996,78.959999,93.930000,93.930000,812057600
2021-07-01,94.040001,106.970001,84.239998,106.190002,106.190002,1138187300
2021-08-01,105.930000,122.489998,101.980003,110.720001,110.720001,1998312900
2021-09-01,111.300003,111.849998,99.510002,102.900002,102.900002,867104200
2021-10-01,102.599998,128.080002,99.820000,120.230003,120.230003,930236100
2021-11-01,119.449997,164.460007,118.129997,158.369995,158.369995,1373609400
2021-12-01,160.369995,160.880005,130.600006,143.899994,143.899994,1175493900
2022-01-01,145.139999,152.419998,99.349998,114.250000,114.250000,1638612600
2022-02-01,116.750000,132.960007,104.260002,123.339996,123.339996,2293656000
2022-03-01,122.330002,125.669998,100.080002,109.339996,109.339996,2460278900
2022-04-01,110.480003,111.419998,84.019997,85.519997,85.519997,1719017900
2022-05-01,85.660004,104.550003,83.269997,101.860001,101.860001,2898334400
2022-06-01,102.129997,109.570000,75.480003,76.470001,76.470001,2030987200
2022-07-01,75.190002,94.809998,71.599998,94.470001,94.470001,1633255900
2022-08-01,95.589996,104.589996,83.720001,84.870003,84.870003,1801038400
2022-09-01,82.349998,85.680000,62.830002,63.360001,63.360001,1677508600
2022-10-01,64.459999,70.290001,54.570000,60.060001,60.060001,1961500500
2022-11-01,61.490002,79.160004,58.029999,77.629997,77.629997,1681532600
2022-12-01,78.309998,79.230003,61.959999,64.769997,64.769997,1149724900
2023-01-01,66.000000,77.080002,60.049999,75.150002,75.150002,1081467000
2023-02-01,78.470001,88.940002,75.919998,78.580002,78.580002,1145820100
2023-03-01,78.550003,102.430000,76.650002,98.010002,98.010002,1656082900
2023-04-01,96.699997,97.269997,83.760002,89.370003,89.370003,895535200
2023-05-01,91.029999,130.789993,81.019997,118.209999,118.209999,1763329300
2023-06-01,117.290001,132.830002,107.080002,113.910004,113.910004,1542596400
2023-07-01,115.160004,122.120003,108.550003,114.400002,114.400002,1141783400
